,ndc_description_agg
0,UCERIS 2MG/ACTUATION RECTAL
1,BETAMETHASONE VALERATE 0.12% TOPICAL
2,BETAMETHASONE VALERATE 0.12% TOPICAL
3,BETAMETHASONE VALERATE 0.12% TOPICAL
4,CLINDAMYCIN PHOSPHATE 1% TOPICAL
5,CLOBETASOL PROPIONATE 0.05% TOPICAL
6,CLOBETASOL PROPIONATE 0.05% TOPICAL
7,CLOBETASOL PROPIONATE 0.05% TOPICAL
8,CLOBETASOL PROPIONATE 0.05% TOPICAL
9,CLOBETASOL PROPIONATE 0.05% TOPICAL
10,ECOZA 1% TOPICAL
11,ENSTILAR 0.064%;0.005% TOPICAL
12,ENSTILAR 0.064%;0.005% TOPICAL
13,ENSTILAR 0.064%;0.005% TOPICAL
14,EVOCLIN 1% TOPICAL
15,EVOCLIN 1% TOPICAL
16,EXTINA 2% TOPICAL
17,FABIOR 0.1% TOPICAL
18,FINACEA 15% TOPICAL
19,FINACEA 15% TOPICAL
20,FINACEA 15% TOPICAL
21,FINACEA 15% TOPICAL
22,FINACEA 15% TOPICAL
23,FINACEA 15% TOPICAL
24,FINACEA 15% TOPICAL
25,FINACEA 15% TOPICAL
26,FINACEA 15% TOPICAL
27,HALOBETASOL PROPIONATE 0.05% TOPICAL
28,KETOCONAZOLE 2% TOPICAL
29,LUXIQ 0.12% TOPICAL
30,MEN'S ROGAINE 5% TOPICAL
31,MINOXIDIL 5% TOPICAL
32,MINOXIDIL (FOR MEN) 5% TOPICAL
33,MINOXIDIL (FOR MEN) 5% TOPICAL
34,MINOXIDIL (FOR WOMEN) 5% TOPICAL
35,MINOXIDIL (FOR WOMEN) 5% TOPICAL
36,OLUX 0.05% TOPICAL
37,OLUX E 0.05% TOPICAL
38,OLUX E 0.05% TOPICAL
39,OLUX E 0.05% TOPICAL
40,OLUX E 0.05% TOPICAL
41,SORILUX 0.005% TOPICAL
42,SORILUX 0.005% TOPICAL
43,SORILUX 0.005% TOPICAL
44,VERDESO 0.05% TOPICAL
45,VERDESO 0.05% TOPICAL
46,VERDESO 0.05% TOPICAL
47,VERDESO 0.05% TOPICAL
48,VERDESO 0.05% TOPICAL
49,WOMEN'S ROGAINE 5% TOPICAL
50,ADVAIR HFA 0.045MG/INH;EQ 0.021MG BASE/INH INHALATION
