,ndc_description,ndc_description_agg,score
0,SM CHEST CONGEST RLF DM CAPLET,,-1
1,TRETINOIN 0.01% GEL,TRETINOIN 0.01% TOPICAL,88
2,NAPROXEN DR 375MG TABLET,,-1
3,NABUMETONE 750MG TABLET,NABUMETONE 750MG ORAL,86
4,CLINDAMYCIN HCL 150MG CAPSULE,,-1
5,VALSARTAN-HYDROCHLOROTHIAZIDE 320-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
6,CARBIDOPA-LEVO ER 50-200 TABLET,,-1
7,BENZONATATE 100MG CAPSULE,BENZONATATE 100MG ORAL,87
8,OLANZAPINE 2.5MG TABLET,OLANZAPINE 2.5MG ORAL,86
9,FLUOCINONIDE 0.1% CREAM,,-1
10,DEXMETHYLPHENIDATE ER 10MG CP,DEXMETHYLPHENIDATE HYDROCHLORIDE 10MG ORAL,88
11,SM LANSOPRAZOLE DR 15MG CAP,LANSOPRAZOLE 15MG ORAL,87
12,NISOLDIPINE ER 8.5MG TABLET,NISOLDIPINE 8.5MG ORAL,87
13,DUZALLO 200-300MG TABLET,,-1
14,PIOGLITAZONE HCL 45MG TABLET,,-1
15,RISPERIDONE 3MG TABLET,RISPERIDONE 3MG ORAL,86
16,OXYCONTIN ER 10MG TABLET,,-1
17,FLUVOXAMINE ER 150MG CAPSULE,,-1
18,BISOPROLOL FUMARATE 10MG TABLET,BISOPROLOL FUMARATE 10MG ORAL,91
19,FOLIC ACID 1MG TABLET,,-1
20,METOPROLOL SUCC ER 50MG TABLET,,-1
21,ANTI-DIARRHEAL 2MG TABLET,,-1
22,CLARAVIS 30MG CAPSULE,,-1
23,LAMOTRIGINE 150MG TABLET,LAMOTRIGINE 150MG ORAL,87
24,IPRATROPIUM BR 0.02% SOLUTION,,-1
25,OXYCODONE HCL 5MG CAPSULE,,-1
26,CEFDINIR 125MG/5ML SUSP,CEFDINIR 125MG/5ML ORAL,88
27,RISPERIDONE 4MG TABLET,RISPERIDONE 4MG ORAL,86
28,SM NICOTINE 4MG CHEWING GUM,,-1
29,PYRIDOSTIGMINE BR 60MG TABLET,,-1
30,RISPERIDONE 2MG TABLET,RISPERIDONE 2MG ORAL,86
31,SM ANTI-DANDRUFF 0.5% SHAMPOO,,-1
32,RIFAMPIN 300MG CAPSULE,,-1
33,AMLODIPINE BESYLATE 5MG TABLET,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 2.5MG BASE;10MG ORAL,87
34,FELODIPINE ER 10MG TABLET,FELODIPINE 10MG ORAL,86
35,BROMOCRIPTINE 2.5MG TABLET,,-1
36,MODAFINIL 200MG TABLET,MODAFINIL 200MG ORAL,86
37,ANTI-DIARRHEAL 2MG CAPLET,,-1
38,CALCIUM ACETATE 667MG TABLET,CALCIUM ACETATE 667MG ORAL,89
39,MONTELUKAST SOD 10MG TABLET,,-1
40,METHOTREXATE 2.5MG TABLET,,-1
41,ISOSORBIDE DINITRATE 20MG TABLET,ISOSORBIDE DINITRATE 20MG ORAL,91
42,SILDENAFIL 20MG TABLET,,-1
43,LISINOPRIL 40MG TABLET,LISINOPRIL 40MG ORAL,86
44,PAROXETINE HCL 20MG TABLET,,-1
45,MONTELUKAST SOD 5MG TAB CHEWABLE,,-1
46,AMLODIPINE-OLMESARTAN 5-40MG,AMLODIPINE AND OLMESARTAN MEDOXOMIL EQ 5MG BASE;40MG ORAL,96
47,TEMAZEPAM 7.5MG CAPSULE,TEMAZEPAM 7.5MG ORAL,86
48,DESONIDE 0.05% CREAM,,-1
49,INDOMETHACIN ER 75MG CAPSULE,INDOMETHACIN 75MG ORAL,87
50,FROVATRIPTAN SUCC 2.5MG TABLET,,-1
51,ISONIAZID 300MG TABLET,ISONIAZID 300MG ORAL,86
52,8 HOUR ER 650MG CAPLET,,-1
53,CARBAMAZEPINE 200MG TABLET,CARBAMAZEPINE 200MG ORAL,88
54,GLYBURIDE MICRO 6MG TABLET,,-1
55,LISINOPRIL 2.5MG TABLET,LISINOPRIL 2.5MG ORAL,86
56,MORPHINE SULF 100MG/5ML SOLUTION,,-1
57,DIVALPROEX SOD ER 500MG TABLET,,-1
58,AMLODIPINE-OLMESARTAN 5-20MG,AMLODIPINE AND OLMESARTAN MEDOXOMIL EQ 5MG BASE;20MG ORAL,96
59,DEXTROAMPHETAMINE ER 5MG CAP,DEXTROAMPHETAMINE SULFATE 5MG ORAL,86
60,VIMPAT 100MG TABLET,,-1
